timestamp,uptime_min,ntrip_connected_min,interface,ntrip_rx_Bps,rtcm_frames_interval,rtcm_frames_total,rtcm_valid_interval,rtcm_valid_total,rtcm_bad_crc_interval,rtcm_bad_crc_total,crc_error_percent_interval,gps_rtcm_data_interval,gps_rtcm_data_total,px4_tx_Bps,px4_tx_fail_interval,px4_tx_fail_total,px4_tx_loss_est_percent,rtcm_message_types
"2026-06-30 22:55:06",0.083,0.083,"/dev/ttyAMA4@115200",1282.400,52,52,52,52,0,0,0.000000,62,62,1698.000,0,0,0.000000,"1005:6,1074:5,1077:5,1084:5,1087:5,1094:5,1097:5,1124:5,1127:5,1230:6"
"2026-06-30 22:55:11",0.167,0.167,"/dev/ttyAMA4@115200",1054.000,41,93,41,93,0,0,0.000000,49,111,1386.400,0,0,0.000000,"1005:10,1074:9,1077:9,1084:9,1087:9,1094:9,1097:9,1124:9,1127:9,1230:11"
"2026-06-30 22:55:16",0.250,0.250,"/dev/ttyAMA4@115200",1362.800,50,143,50,143,0,0,0.000000,61,172,1795.000,0,0,0.000000,"1005:15,1074:14,1077:14,1084:14,1087:14,1094:14,1097:14,1124:14,1127:14,1230:16"
"2026-06-30 22:55:21",0.333,0.333,"/dev/ttyAMA4@115200",1355.000,50,193,50,193,0,0,0.000000,60,232,1767.000,0,0,0.000000,"1005:20,1074:19,1077:19,1084:19,1087:19,1094:19,1097:19,1124:19,1127:19,1230:21"
"2026-06-30 22:55:26",0.417,0.417,"/dev/ttyAMA4@115200",1275.000,50,243,50,243,0,0,0.000000,60,292,1686.000,0,0,0.000000,"1005:25,1074:24,1077:24,1084:24,1087:24,1094:24,1097:24,1124:24,1127:24,1230:26"
"2026-06-30 22:55:31",0.500,0.500,"/dev/ttyAMA4@115200",1275.000,50,293,50,293,0,0,0.000000,60,352,1686.000,0,0,0.000000,"1005:30,1074:29,1077:29,1084:29,1087:29,1094:29,1097:29,1124:29,1127:29,1230:31"
"2026-06-30 22:55:36",0.583,0.583,"/dev/ttyAMA4@115200",1260.200,50,343,50,343,0,0,0.000000,60,412,1667.600,0,0,0.000000,"1005:35,1074:34,1077:34,1084:34,1087:34,1094:34,1097:34,1124:34,1127:34,1230:36"
"2026-06-30 22:55:41",0.667,0.667,"/dev/ttyAMA4@115200",1277.000,50,393,50,393,0,0,0.000000,60,472,1683.200,0,0,0.000000,"1005:40,1074:39,1077:39,1084:39,1087:39,1094:39,1097:39,1124:39,1127:39,1230:41"
"2026-06-30 22:55:46",0.750,0.750,"/dev/ttyAMA4@115200",1307.800,50,443,50,443,0,0,0.000000,62,534,1774.400,0,0,0.000000,"1005:45,1074:44,1077:44,1084:44,1087:44,1094:44,1097:44,1124:44,1127:44,1230:46"
"2026-06-30 22:55:51",0.833,0.833,"/dev/ttyAMA4@115200",1307.000,50,493,50,493,0,0,0.000000,60,594,1718.000,0,0,0.000000,"1005:50,1074:49,1077:49,1084:49,1087:49,1094:49,1097:49,1124:49,1127:49,1230:51"
"2026-06-30 22:55:56",0.917,0.917,"/dev/ttyAMA4@115200",1338.400,50,543,50,543,0,0,0.000000,63,657,1838.400,0,0,0.000000,"1005:55,1074:54,1077:54,1084:54,1087:54,1094:54,1097:54,1124:54,1127:54,1230:56"
"2026-06-30 22:56:01",1.000,1.000,"/dev/ttyAMA4@115200",1299.000,50,593,50,593,0,0,0.000000,60,717,1710.000,0,0,0.000000,"1005:60,1074:59,1077:59,1084:59,1087:59,1094:59,1097:59,1124:59,1127:59,1230:61"
"2026-06-30 22:56:06",1.083,1.083,"/dev/ttyAMA4@115200",1330.600,50,643,50,643,0,0,0.000000,62,779,1800.800,0,0,0.000000,"1005:65,1074:64,1077:64,1084:64,1087:64,1094:64,1097:64,1124:64,1127:64,1230:66"
"2026-06-30 22:56:11",1.167,1.167,"/dev/ttyAMA4@115200",1322.600,50,693,50,693,0,0,0.000000,62,841,1793.200,0,0,0.000000,"1005:70,1074:69,1077:69,1084:69,1087:69,1094:69,1097:69,1124:69,1127:69,1230:71"
"2026-06-30 22:56:16",1.250,1.250,"/dev/ttyAMA4@115200",1276.600,50,743,50,743,0,0,0.000000,60,901,1683.600,0,0,0.000000,"1005:75,1074:74,1077:74,1084:74,1087:74,1094:74,1097:74,1124:74,1127:74,1230:76"
"2026-06-30 22:56:21",1.333,1.333,"/dev/ttyAMA4@115200",1252.600,50,793,50,793,0,0,0.000000,60,961,1659.600,0,0,0.000000,"1005:80,1074:79,1077:79,1084:79,1087:79,1094:79,1097:79,1124:79,1127:79,1230:81"
"2026-06-30 22:56:26",1.417,1.417,"/dev/ttyAMA4@115200",1322.600,50,843,50,843,0,0,0.000000,62,1023,1792.800,0,0,0.000000,"1005:85,1074:84,1077:84,1084:84,1087:84,1094:84,1097:84,1124:84,1127:84,1230:86"
"2026-06-30 22:56:31",1.500,1.500,"/dev/ttyAMA4@115200",1307.000,50,893,50,893,0,0,0.000000,60,1083,1718.000,0,0,0.000000,"1005:90,1074:89,1077:89,1084:89,1087:89,1094:89,1097:89,1124:89,1127:89,1230:91"
"2026-06-30 22:56:36",1.583,1.583,"/dev/ttyAMA4@115200",1275.000,50,943,50,943,0,0,0.000000,60,1143,1686.000,0,0,0.000000,"1005:95,1074:94,1077:94,1084:94,1087:94,1094:94,1097:94,1124:94,1127:94,1230:96"
"2026-06-30 22:56:41",1.667,1.667,"/dev/ttyAMA4@115200",1299.000,50,993,50,993,0,0,0.000000,60,1203,1710.600,0,0,0.000000,"1005:100,1074:99,1077:99,1084:99,1087:99,1094:99,1097:99,1124:99,1127:99,1230:101"
