timestamp,uptime_min,interval_s,rtcm_frame_rate_fps,valid_frames_interval,parsed_frames_interval,bad_crc_interval,crc_error_percent_interval,message_types_interval,serial_input_Bps,client_output_Bps,client_count,peak_client_count,total_valid_frames,total_bad_crc,total_client_bytes,station,svin
2026-07-08 09:47:17,0.019,1.119,8.043,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3057.1,0.0,0,0,9,0,0,NO_1005_1006,SURVEYING dur=971s obs=948 acc=1.1134m valid=0 active=1 age=0.2s
2026-07-08 09:47:18,0.036,1.018,8.837,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3360.8,0.0,0,0,18,0,0,NO_1005_1006,SURVEYING dur=972s obs=949 acc=1.1127m valid=0 active=1 age=0.2s
2026-07-08 09:47:19,0.055,1.188,7.577,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2881.9,0.0,0,0,27,0,0,NO_1005_1006,SURVEYING dur=973s obs=950 acc=1.1120m valid=0 active=1 age=0.4s
2026-07-08 09:47:20,0.075,1.200,7.499,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2852.3,0.0,0,0,36,0,0,NO_1005_1006,SURVEYING dur=974s obs=951 acc=1.1113m valid=0 active=1 age=0.6s
2026-07-08 09:47:21,0.092,1.001,8.988,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3378.7,0.0,0,0,45,0,0,NO_1005_1006,SURVEYING dur=975s obs=952 acc=1.1106m valid=0 active=1 age=0.6s
2026-07-08 09:47:22,0.109,1.007,8.933,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3357.8,0.0,0,0,54,0,0,NO_1005_1006,SURVEYING dur=976s obs=953 acc=1.1099m valid=0 active=1 age=0.6s
2026-07-08 09:47:24,0.128,1.119,13.407,15,15,0,0.000,"1074:2, 1077:2, 1084:2, 1087:2, 1094:2, 1097:2, 1124:1, 1127:1, 1230:1",3939.0,0.0,0,0,69,0,0,NO_1005_1006,SURVEYING dur=977s obs=954 acc=1.1092m valid=0 active=1 age=0.7s
2026-07-08 09:47:25,0.146,1.095,10.962,12,12,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:2, 1127:2, 1230:2",4025.8,0.0,0,0,81,0,0,NO_1005_1006,SURVEYING dur=978s obs=955 acc=1.1085m valid=0 active=1 age=0.8s
2026-07-08 09:47:26,0.163,1.004,3.982,4,5,1,20.000,"1097:1, 1124:1, 1127:1, 1230:1",3422.8,0.0,0,0,85,1,0,NO_1005_1006,SURVEYING dur=979s obs=956 acc=1.1078m valid=0 active=1 age=0.8s
2026-07-08 09:47:27,0.182,1.192,7.553,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",4052.0,0.0,0,0,94,1,0,NO_1005_1006,SURVEYING dur=981s obs=958 acc=1.1064m valid=0 active=1 age=0.0s
2026-07-08 09:47:28,0.199,1.003,8.976,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3389.1,0.0,0,0,103,1,0,NO_1005_1006,SURVEYING dur=982s obs=959 acc=1.1056m valid=0 active=1 age=0.0s
2026-07-08 09:47:29,0.219,1.170,7.695,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2905.3,0.0,0,0,112,1,0,NO_1005_1006,SURVEYING dur=983s obs=960 acc=1.1049m valid=0 active=1 age=0.2s
2026-07-08 09:47:30,0.235,1.011,8.903,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3361.5,0.0,0,0,121,1,0,NO_1005_1006,SURVEYING dur=984s obs=961 acc=1.1042m valid=0 active=1 age=0.2s
2026-07-08 09:47:31,0.255,1.198,7.511,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2835.8,0.0,0,0,130,1,0,NO_1005_1006,SURVEYING dur=985s obs=962 acc=1.1035m valid=0 active=1 age=0.4s
2026-07-08 09:47:32,0.273,1.047,8.595,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3245.2,0.0,0,0,139,1,0,NO_1005_1006,SURVEYING dur=986s obs=963 acc=1.1028m valid=0 active=1 age=0.4s
2026-07-08 09:47:33,0.293,1.190,7.565,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2856.1,0.0,0,0,148,1,0,NO_1005_1006,SURVEYING dur=987s obs=964 acc=1.1021m valid=0 active=1 age=0.6s
2026-07-08 09:47:35,0.311,1.091,13.748,15,15,0,0.000,"1074:2, 1077:2, 1084:2, 1087:2, 1094:2, 1097:2, 1124:1, 1127:1, 1230:1",4042.8,0.0,0,0,163,1,0,NO_1005_1006,SURVEYING dur=988s obs=965 acc=1.1014m valid=0 active=1 age=0.7s
2026-07-08 09:47:36,0.328,1.001,8.993,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3338.5,0.0,0,0,172,1,0,NO_1005_1006,SURVEYING dur=989s obs=966 acc=1.1007m valid=0 active=1 age=0.7s
2026-07-08 09:47:37,0.344,1.004,8.962,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3325.0,0.0,0,0,181,1,0,NO_1005_1006,SURVEYING dur=990s obs=967 acc=1.1000m valid=0 active=1 age=0.7s
2026-07-08 09:47:38,0.362,1.071,11.203,12,12,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:2, 1127:2, 1230:2",4085.4,0.0,0,0,193,1,0,NO_1005_1006,SURVEYING dur=991s obs=968 acc=1.0993m valid=0 active=1 age=0.8s
2026-07-08 09:47:39,0.382,1.188,7.578,9,10,1,10.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3898.4,0.0,0,0,202,2,0,NO_1005_1006,SURVEYING dur=993s obs=970 acc=1.0979m valid=0 active=1 age=0.0s
